net,length_um
_27257_,308.8
_19824_,307.61
_26803_,307.32
_21382_,306.34
clknet_4_4_0_clk,306.14
clknet_4_3_0_clk,305.57
clknet_4_14_0_clk,305.48
_25475_,304.605
_24283_,304.58
_20085_,304.08
_27771_,303.72
clknet_4_9_0_clk,303.68
_26335_,302.54
_24583_,302.32
_25353_,302.19
_24567_,300.335
_19899_,299.29
L1C1.addr\[12\],299.25
_27552_,299.12
clknet_4_13_0_clk,298.95
_25168_,298.2
clknet_6_54__leaf_clk,297.77
_20910_,297.31
_24587_,296.83
_25040_,295.57
clknet_4_11_0_clk,295.2
_23433_,294.68
_26289_,294.44
clknet_6_52__leaf_clk,294.12
net7,293.7
_20499_,292.58
_20048_,291.4
_19931_,290.9
_19920_,289.34
_25500_,288.29
_24365_,288.02
clknet_6_42__leaf_clk,287.99
_27119_,287.5
_23799_,286.32
_24548_,286.19
_21075_,285.79
_20604_,285.11
_19757_,284.6
_27447_,284.3
_27076_,283.94
_25182_,283.9
_19798_,282.77
_27695_,282.66
_27619_,282.47
_25362_,282.06
_26640_,281.26
_19160_,281.005
_21061_,280.41
_24540_,279.445
_24582_,279.28
_24339_,278.935
_19307_,278.88
_27657_,277.86
_26832_,277.82
_20947_,276.9
_19183_,276.77
_20103_,276.485
_19172_,276.29
_26755_,276.24
_19974_,276.14
clknet_6_28__leaf_clk,276.09
_27733_,275.4
_20353_,275.32
_24798_,274.545
_26924_,273.94
clknet_4_7_0_clk,273.27
_26962_,272.68
_19859_,271.885
_20095_,271.78
_19984_,271.64
_25030_,271.08
_20122_,271.04
_19999_,270.18
_20654_,268.72
_25032_,268.715
_19104_,268.27
_01268_,268.12
_25076_,267.73
_24795_,267.51
_20508_,267.5
_25946_,266.93
_19272_,266.79
_26830_,266.74
_19146_,265.86
_25445_,265.84
_24791_,265.64
_25039_,265.395
_19118_,265.06
_20487_,264.725
_20946_,264.67
_20647_,264.595
_21093_,263.57
_26452_,261.705
_27490_,261.04
_26773_,261
_25349_,260.81
_19265_,260.73
_24542_,260.58
_24790_,260.2
_20452_,258.96
_25436_,258.85
_25031_,258.135
_24289_,257.84
_27038_,257.535
_28066_,256.26
EC0.RF.wdata\[22\],256.21
_22076_,256.2
_25172_,256.16
_23428_,255.93
_19084_,255.8
_19768_,255.62
_19288_,254.92
_20007_,254.53
_23409_,254.47
_24783_,254.32
_26886_,254.24
_24554_,254.14
_19148_,254
_20643_,253.97
_19102_,253.8
_24310_,253.74
_27438_,253.06
_27000_,252.78
clknet_6_30__leaf_clk,251.56
_20939_,251.4
_24787_,250.975
_24560_,250.56
_21092_,250.26
_19903_,250.12
_19155_,249.79
