net,length_um
_17493_,17.44
_24712_,17.44
L2.mem\[81\]\[7\],17.43
L1C0.tags\[2\]\[18\],17.42
_23203_,17.42
_24253_,17.42
_27972_,17.42
_20356_,17.415
L2.mem\[13\]\[6\],17.41
L2.mem\[89\]\[24\],17.41
L2.mem\[95\]\[1\],17.41
EC0.RF.regs\[2\]\[30\],17.4
_18001_,17.4
_24368_,17.4
L2.mem\[3\]\[19\],17.39
_22654_,17.38
_21176_,17.375
L2.mem\[83\]\[15\],17.37
L2.mem\[171\]\[24\],17.365
_22133_,17.36
_23222_,17.36
_23231_,17.36
net2589,17.36
net3122,17.36
net4742,17.36
L1C0.tags\[3\]\[1\],17.35
L2.mem\[1\]\[9\],17.35
L2.mem\[8\]\[14\],17.34
_22070_,17.34
_22281_,17.34
_23277_,17.34
_23398_,17.34
_28204_,17.34
L2.mem\[160\]\[12\],17.335
_22034_,17.32
_23772_,17.32
_24075_,17.32
net1293,17.32
L2.mem\[166\]\[1\],17.31
L1C2.tags\[5\]\[5\],17.3
_12688_,17.3
_16659_,17.3
_17570_,17.3
_18184_,17.3
_21940_,17.3
net669,17.3
net6209,17.3
L1C0.tags\[4\]\[13\],17.285
EC0.RF.regs\[6\]\[6\],17.28
L2.mem\[12\]\[30\],17.28
L2.mem\[242\]\[24\],17.28
_15280_,17.28
_20657_,17.28
_21109_,17.28
L2.mem\[168\]\[30\],17.27
L2.mem\[242\]\[12\],17.27
_15099_,17.26
_22941_,17.26
_23457_,17.26
_23853_,17.26
L2.mem\[12\]\[13\],17.25
L2.mem\[246\]\[5\],17.25
L2.mem\[253\]\[12\],17.25
_11256_,17.24
_12929_,17.24
_15174_,17.24
_22480_,17.24
net4153,17.24
net5772,17.24
L2.mem\[163\]\[18\],17.23
L2.mem\[5\]\[7\],17.23
L2.mem\[87\]\[12\],17.23
_17021_,17.22
_22824_,17.215
L2.mem\[85\]\[6\],17.21
L2.mem\[93\]\[19\],17.205
L1C0.valid\[0\],17.2
L1C2.data\[3\]\[5\],17.2
_12019_,17.2
_15325_,17.2
_21206_,17.2
_25342_,17.2
net5971,17.2
net6290,17.2
L2.mem\[240\]\[10\],17.195
L2.mem\[241\]\[22\],17.19
L2.mem\[252\]\[5\],17.19
L2.mem\[86\]\[5\],17.19
L1C0.tags\[2\]\[16\],17.18
_15199_,17.18
_15703_,17.18
_20212_,17.18
_20276_,17.18
L2.mem\[5\]\[19\],17.17
L2.mem\[86\]\[26\],17.17
L1C2.data\[5\]\[23\],17.16
L2.mem\[171\]\[29\],17.16
L2.mem\[243\]\[8\],17.16
_00536_,17.16
_13705_,17.16
_18455_,17.16
_22165_,17.16
_24196_,17.16
L2.mem\[2\]\[18\],17.15
_22839_,17.14
net6495,17.14
L1C0.mesi\[3\]\[1\],17.12
_15963_,17.12
_22927_,17.12
_23739_,17.12
_23869_,17.12
net4563,17.12
_22039_,17.1
_22065_,17.1
_22920_,17.1
net1427,17.1
net5855,17.1
L2.mem\[162\]\[2\],17.09
L2.mem\[2\]\[16\],17.09
_08543_,17.09
L2.mem\[92\]\[24\],17.08
net1196,17.08
net2510,17.08
L2.mem\[4\]\[3\],17.07
L2.mem\[85\]\[15\],17.07
_22992_,17.07
_15616_,17.06
_23235_,17.06
L2.mem\[167\]\[22\],17.055
L2.mem\[14\]\[31\],17.05
L2.mem\[254\]\[19\],17.05
L2.mem\[8\]\[16\],17.05
_22709_,17.04
_24199_,17.04
L2.mem\[240\]\[16\],17.03
L1C2.tags\[2\]\[10\],17.02
L1C2.tags\[7\]\[13\],17.02
_13275_,17.02
_19575_,17.02
L2.mem\[161\]\[13\],17.01
_21274_,17.01
FE.mc\[6\],17
L1C1.tags\[6\]\[18\],17
_02041_,17
_23595_,17
L2.mem\[244\]\[5\],16.98
L2.mem\[85\]\[29\],16.98
L2.mem\[95\]\[4\],16.98
_24370_,16.98
_24848_,16.98
L2.mem\[249\]\[3\],16.975
L2.mem\[4\]\[15\],16.97
L2.mem\[84\]\[5\],16.97
L1C1.tags\[5\]\[6\],16.96
L2.mem\[0\]\[15\],16.96
_15300_,16.96
L2.mem\[3\]\[7\],16.95
L2.mem\[68\]\[13\],16.95
L2.mem\[88\]\[28\],16.95
L1C1.tags\[0\]\[14\],16.94
L1C1.tags\[0\]\[7\],16.94
L1C2.data\[4\]\[16\],16.94
L2.mem\[92\]\[22\],16.94
_14587_,16.94
_21937_,16.94
_22880_,16.94
_23154_,16.94
_23223_,16.94
L2.mem\[255\]\[26\],16.935
L2.mem\[85\]\[27\],16.93
L2.mem\[94\]\[10\],16.92
_22706_,16.92
L2.mem\[89\]\[6\],16.91
L1C2.data\[6\]\[24\],16.9
PC1.ID_pc\[3\],16.9
_22641_,16.9
_23991_,16.9
net1201,16.9
L2.mem\[240\]\[3\],16.89
L1C0.tags\[4\]\[6\],16.885
_15356_,16.88
_20436_,16.88
_20954_,16.88
net5864,16.88
L2.mem\[14\]\[10\],16.87
L2.mem\[14\]\[21\],16.87
L2.mem\[15\]\[9\],16.87
L2.mem\[6\]\[1\],16.87
L2.mem\[86\]\[6\],16.87
L2.mem\[9\]\[11\],16.87
L2.mem\[15\]\[20\],16.86
L2.mem\[88\]\[1\],16.86
_22735_,16.86
_23942_,16.86
_24671_,16.86
L2.mem\[94\]\[19\],16.85
L2.mem\[253\]\[8\],16.84
_17786_,16.84
_21147_,16.84
_21680_,16.84
_21772_,16.84
_22871_,16.84
L2.mem\[171\]\[13\],16.835
_11432_,16.82
_17214_,16.82
_20263_,16.82
_20506_,16.82
L2.mem\[248\]\[30\],16.81
L2.mem\[250\]\[14\],16.8
_10371_,16.8
_11095_,16.8
_15428_,16.8
_18131_,16.8
_22705_,16.8
_22854_,16.8
net41,16.8
L2.mem\[167\]\[24\],16.795
L2.mem\[248\]\[0\],16.795
L2.mem\[81\]\[18\],16.795
L2.mem\[202\]\[12\],16.79
_22915_,16.79
L2.mem\[244\]\[29\],16.78
L2.mem\[254\]\[20\],16.78
L2.mem\[85\]\[24\],16.78
_12094_,16.78
_16645_,16.78
_27338_,16.78
L2.mem\[170\]\[9\],16.775
L2.mem\[81\]\[11\],16.775
_13138_,16.76
_13807_,16.76
_15269_,16.76
_16695_,16.76
_21941_,16.76
_24077_,16.76
_27034_,16.76
L2.mem\[162\]\[0\],16.75
L1C0.tags\[7\]\[18\],16.74
L2.mem\[250\]\[30\],16.74
_11765_,16.74
_12474_,16.74
_22157_,16.74
net5463,16.74
L2.mem\[160\]\[10\],16.735
L2.mem\[15\]\[7\],16.73
L2.mem\[13\]\[17\],16.72
L2.mem\[240\]\[31\],16.72
_00816_,16.72
_12596_,16.72
_13101_,16.72
_20834_,16.72
_22010_,16.72
_23077_,16.72
_23508_,16.72
_23948_,16.72
_26884_,16.72
net5097,16.72
L1C0.tags\[1\]\[8\],16.7
_14043_,16.7
_15227_,16.7
_20634_,16.7
_21616_,16.7
_22401_,16.7
_27626_,16.7
net6016,16.7
L2.mem\[246\]\[20\],16.68
_15959_,16.68
_20444_,16.68
_21811_,16.68
_22441_,16.68
_23951_,16.68
_24865_,16.68
net4501,16.68
L1C0.tags\[0\]\[0\],16.675
L2.mem\[44\]\[2\],16.67
L2.mem\[7\]\[16\],16.67
_16556_,16.66
_23361_,16.66
_27981_,16.66
_27645_,16.655
L2.mem\[180\]\[16\],16.65
L2.mem\[82\]\[12\],16.65
EC0.RF.regs\[1\]\[31\],16.64
L2.mem\[0\]\[18\],16.64
L2.mem\[240\]\[29\],16.64
L2.mem\[252\]\[4\],16.64
L2.mem\[92\]\[4\],16.64
_11091_,16.64
_16034_,16.64
_21893_,16.635
L2.mem\[251\]\[4\],16.625
_19277_,16.62
_22280_,16.62
_22552_,16.62
net1187,16.62
_11669_,16.6
_13169_,16.6
_22091_,16.6
_22109_,16.6
L2.mem\[15\]\[3\],16.59
L2.mem\[80\]\[0\],16.59
L2.mem\[82\]\[3\],16.59
L1C2.tags\[4\]\[17\],16.585
L2.mem\[91\]\[0\],16.585
L1C2.tags\[7\]\[19\],16.58
L2.mem\[95\]\[9\],16.58
_16080_,16.58
L1C1.tags\[0\]\[10\],16.56
_00817_,16.56
_12152_,16.56
_27831_,16.56
L2.mem\[255\]\[15\],16.555
L2.mem\[165\]\[15\],16.55
L1C2.tags\[5\]\[16\],16.54
_16661_,16.54
_20223_,16.54
_20913_,16.54
_22444_,16.54
_23304_,16.54
_24082_,16.54
L2.mem\[15\]\[12\],16.53
L2.mem\[90\]\[23\],16.53
_08387_,16.53
L1C1.tags\[0\]\[19\],16.52
L1C2.data\[7\]\[16\],16.52
L1C2.tags\[5\]\[2\],16.52
_10856_,16.52
_22009_,16.52
_24452_,16.52
_25329_,16.52
_27079_,16.52
L2.mem\[164\]\[13\],16.51
L2.mem\[2\]\[23\],16.51
L2.mem\[86\]\[11\],16.51
L1C2.tags\[4\]\[2\],16.505
L2.mem\[80\]\[24\],16.5
_21565_,16.5
_23369_,16.5
_24890_,16.5
L2.mem\[249\]\[8\],16.495
L2.mem\[85\]\[11\],16.495
L2.mem\[83\]\[11\],16.49
L2.mem\[83\]\[18\],16.49
_15184_,16.48
_21656_,16.48
_22466_,16.48
_22865_,16.48
net1095,16.48
L2.mem\[153\]\[3\],16.47
L2.mem\[252\]\[12\],16.47
L1C0.tags\[0\]\[1\],16.46
_21317_,16.46
L2.mem\[170\]\[15\],16.455
L2.mem\[163\]\[2\],16.45
L2.mem\[86\]\[31\],16.45
_08112_,16.45
_22640_,16.44
net1005,16.44
_22695_,16.435
EC0.RF.regs\[5\]\[31\],16.42
_13227_,16.42
_15692_,16.42
_17139_,16.42
_19236_,16.42
net892,16.42
net6648,16.42
_22740_,16.415
L2.mem\[29\]\[11\],16.41
L2.mem\[254\]\[18\],16.405
EC0.RF.regs\[4\]\[22\],16.4
_22343_,16.4
_23804_,16.4
_27544_,16.4
net1184,16.4
net3289,16.4
L2.mem\[171\]\[0\],16.39
L2.mem\[82\]\[11\],16.39
L2.mem\[93\]\[7\],16.385
EC0.RF.regs\[2\]\[21\],16.38
_15290_,16.38
_18094_,16.38
_21947_,16.38
_27129_,16.38
L1C2.mesi\[2\]\[0\],16.36
L2.mem\[242\]\[22\],16.36
_13330_,16.36
_16486_,16.36
_17111_,16.36
L2.mem\[94\]\[0\],16.35
_00201_,16.34
_16906_,16.34
_17355_,16.34
_18282_,16.34
_22206_,16.34
L2.mem\[81\]\[12\],16.335
L1C2.data\[6\]\[22\],16.32
_11535_,16.32
_19297_,16.32
_22588_,16.32
_22585_,16.315
L2.mem\[174\]\[6\],16.31
L1C2.data\[0\]\[7\],16.3
_13199_,16.3
_14267_,16.3
_14573_,16.3
net391,16.3
L1C2.tags\[7\]\[7\],16.295
L2.mem\[162\]\[31\],16.29
L2.mem\[92\]\[3\],16.28
_14497_,16.28
_14766_,16.28
_17638_,16.28
_20840_,16.28
_23208_,16.28
_24343_,16.28
_27758_,16.28
_27966_,16.28
L2.mem\[173\]\[11\],16.275
L2.mem\[80\]\[13\],16.27
L1C2.data\[6\]\[14\],16.26
_11378_,16.26
_14154_,16.26
_15548_,16.26
_17636_,16.26
_28187_,16.26
L1C0.mesi\[4\]\[1\],16.25
L2.mem\[172\]\[0\],16.25
L2.mem\[242\]\[1\],16.25
L1C0.mesi\[6\]\[1\],16.24
L2.mem\[174\]\[19\],16.24
_11268_,16.24
_12897_,16.24
_13633_,16.24
_13663_,16.24
_13976_,16.24
_14208_,16.24
_18039_,16.24
_21444_,16.24
_22548_,16.24
_23920_,16.24
_24315_,16.24
_27002_,16.24
net6227,16.24
L2.mem\[85\]\[16\],16.235
L2.mem\[84\]\[30\],16.23
L2.mem\[93\]\[6\],16.225
L1C1.tags\[0\]\[16\],16.22
L2.mem\[243\]\[24\],16.22
L2.mem\[246\]\[29\],16.22
_10949_,16.22
_23780_,16.22
_24931_,16.22
_25050_,16.22
L2.mem\[255\]\[25\],16.215
L1C2.tags\[1\]\[14\],16.205
L2.mem\[172\]\[4\],16.2
L2.mem\[85\]\[25\],16.2
_18306_,16.2
_22248_,16.2
_22555_,16.2
_23995_,16.2
net6664,16.2
L2.mem\[160\]\[11\],16.195
_00589_,16.185
L1C2.data\[2\]\[4\],16.18
_14916_,16.18
_21624_,16.18
_22254_,16.18
_27951_,16.18
net35,16.18
L2.mem\[8\]\[27\],16.17
L1C2.tags\[7\]\[11\],16.16
L2.mem\[164\]\[8\],16.16
_12924_,16.16
_15515_,16.16
_24248_,16.16
_24657_,16.16
_25017_,16.16
L2.mem\[95\]\[11\],16.15
L2.mem\[170\]\[22\],16.145
EC0.RF.regs\[1\]\[12\],16.14
L2.mem\[211\]\[20\],16.14
_16658_,16.14
_17118_,16.14
_22132_,16.14
_23854_,16.14
_27435_,16.14
L2.mem\[167\]\[3\],16.135
L2.mem\[170\]\[13\],16.135
L2.mem\[1\]\[31\],16.13
L2.mem\[86\]\[12\],16.13
_20659_,16.12
_22911_,16.12
L2.mem\[251\]\[28\],16.115
L2.mem\[0\]\[1\],16.11
L2.mem\[162\]\[20\],16.11
L2.mem\[174\]\[14\],16.11
L2.mem\[252\]\[29\],16.1
_13509_,16.1
_19560_,16.1
_23044_,16.1
_24197_,16.1
_27642_,16.1
_27792_,16.1
L2.mem\[89\]\[12\],16.09
L2.mem\[9\]\[20\],16.08
_21319_,16.08
_21960_,16.08
_22017_,16.08
_22800_,16.08
_23564_,16.08
_28077_,16.08
L2.mem\[0\]\[12\],16.07
L2.mem\[161\]\[12\],16.07
L2.mem\[162\]\[11\],16.07
L2.mem\[175\]\[21\],16.07
L2.mem\[80\]\[16\],16.07
L1C1.tags\[5\]\[16\],16.06
L1C2.data\[5\]\[19\],16.06
L2.mem\[71\]\[24\],16.06
_20769_,16.06
_24012_,16.06
_24061_,16.06
_26936_,16.06
L2.mem\[250\]\[12\],16.05
L2.mem\[4\]\[6\],16.05
_17534_,16.045
L1C1.tags\[2\]\[7\],16.04
L2.mem\[5\]\[14\],16.04
_12467_,16.04
_24112_,16.04
_24510_,16.04
L2.mem\[164\]\[11\],16.03
L2.mem\[164\]\[3\],16.03
L2.mem\[84\]\[12\],16.03
L2.mem\[84\]\[26\],16.03
L2.mem\[10\]\[12\],16.02
_24164_,16.02
L2.mem\[85\]\[7\],16.01
L2.mem\[244\]\[13\],16
_01177_,16
_19685_,16
_22821_,16
L2.mem\[247\]\[7\],15.99
L2.mem\[5\]\[1\],15.99
L2.mem\[82\]\[15\],15.99
L2.mem\[9\]\[18\],15.99
L1C0.valid\[6\],15.98
L1C2.mesi\[4\]\[0\],15.98
L2.mem\[248\]\[4\],15.98
L2.mem\[9\]\[24\],15.98
_11821_,15.98
_12146_,15.98
_18174_,15.98
_21292_,15.98
_23190_,15.98
_24888_,15.98
net6287,15.98
L2.mem\[37\]\[11\],15.97
L2.mem\[61\]\[10\],15.97
_05250_,15.96
_12583_,15.96
_16809_,15.96
_17904_,15.96
_20551_,15.96
_24424_,15.96
L2.mem\[173\]\[15\],15.955
L2.mem\[14\]\[27\],15.95
L2.mem\[240\]\[25\],15.95
L2.mem\[242\]\[26\],15.95
_03250_,15.95
_24773_,15.95
L1C0.tags\[0\]\[18\],15.94
_06146_,15.94
_20977_,15.94
_22812_,15.94
_27766_,15.94
net4793,15.94
L2.mem\[13\]\[0\],15.93
L1C0.tags\[5\]\[6\],15.92
_12810_,15.92
_14504_,15.92
_17736_,15.92
_22909_,15.92
_25029_,15.92
net6181,15.92
L1C0.tags\[4\]\[8\],15.905
L2.mem\[251\]\[14\],15.905
L1C2.data\[2\]\[30\],15.9
_12546_,15.9
_14649_,15.9
_18486_,15.9
_21281_,15.9
L2.mem\[6\]\[12\],15.89
L2.mem\[251\]\[18\],15.885
L2.mem\[210\]\[29\],15.88
_12346_,15.88
_17579_,15.88
_21183_,15.88
_23216_,15.88
net5015,15.88
L2.mem\[15\]\[22\],15.875
L2.mem\[4\]\[17\],15.86
_10892_,15.86
_13876_,15.86
_16900_,15.86
_19753_,15.86
_20772_,15.86
_21486_,15.86
_27814_,15.86
EC0.RF.regs\[3\]\[21\],15.84
L1C2.mesi\[7\]\[1\],15.84
L2.mem\[88\]\[24\],15.84
PC1.EX_imm_i\[0\],15.84
_12813_,15.84
_18523_,15.84
L2.mem\[80\]\[21\],15.83
_03488_,15.83
L1C2.data\[2\]\[6\],15.82
L2.mem\[220\]\[24\],15.82
_11723_,15.82
_16495_,15.82
_16575_,15.82
_21646_,15.815
_21832_,15.815
L2.mem\[169\]\[16\],15.81
L2.mem\[241\]\[12\],15.81
EC0.RF.regs\[2\]\[19\],15.8
L2.mem\[12\]\[4\],15.8
_13233_,15.8
_13270_,15.8
_14095_,15.8
_16996_,15.8
_18933_,15.8
_21360_,15.8
_21763_,15.8
_22211_,15.8
_22970_,15.8
_23205_,15.8
_23576_,15.8
_27785_,15.8
L2.mem\[0\]\[16\],15.79
L2.mem\[10\]\[21\],15.79
L2.mem\[172\]\[13\],15.79
L2.mem\[172\]\[7\],15.79
L2.mem\[245\]\[9\],15.79
L2.mem\[83\]\[21\],15.79
_22063_,15.79
_11519_,15.78
_11697_,15.78
_13852_,15.78
_14390_,15.78
_14731_,15.78
_23335_,15.78
L1C1.tags\[0\]\[6\],15.76
L1C2.data\[2\]\[7\],15.76
_13532_,15.76
_15557_,15.76
_17882_,15.76
_20959_,15.76
_23103_,15.76
L2.mem\[11\]\[0\],15.75
L2.mem\[246\]\[2\],15.75
EC0.RF.regs\[3\]\[17\],15.74
L1C2.tags\[5\]\[4\],15.74
L2.mem\[0\]\[26\],15.74
_12678_,15.74
_14352_,15.74
_16028_,15.74
_16990_,15.74
_17951_,15.74
_22102_,15.74
_22875_,15.74
_23288_,15.74
L2.mem\[251\]\[10\],15.735
L2.mem\[242\]\[13\],15.73
L1C1.tags\[7\]\[0\],15.72
L2.mem\[242\]\[8\],15.72
L2.mem\[254\]\[17\],15.72
_11347_,15.72
_12357_,15.72
_27262_,15.72
_27682_,15.72
net235,15.72
net1583,15.72
L2.mem\[134\]\[27\],15.71
L2.mem\[95\]\[19\],15.71
_22534_,15.71
_23204_,15.7
_23768_,15.7
EC0.RF.regs\[2\]\[20\],15.68
_15502_,15.68
_22841_,15.68
_24078_,15.68
_25080_,15.68
net1752,15.68
L2.mem\[95\]\[12\],15.675
L2.mem\[168\]\[23\],15.67
L2.mem\[240\]\[7\],15.67
L2.mem\[83\]\[13\],15.67
EC0.RF.regs\[1\]\[21\],15.66
L2.mem\[7\]\[14\],15.66
_23979_,15.66
L2.mem\[248\]\[8\],15.655
L1C1.mesi\[1\]\[1\],15.64
L2.mem\[93\]\[22\],15.64
_18105_,15.64
_24907_,15.64
_25061_,15.64
net5942,15.64
L2.mem\[7\]\[13\],15.63
L2.mem\[89\]\[13\],15.63
L2.mem\[9\]\[7\],15.63
L1C2.data\[0\]\[5\],15.62
_04427_,15.62
_13828_,15.62
therm_ecore[3],15.62
net3817,15.62
L2.mem\[161\]\[10\],15.61
L2.mem\[242\]\[28\],15.61
L2.mem\[252\]\[3\],15.61
L2.mem\[6\]\[16\],15.61
L2.mem\[165\]\[11\],15.605
_24522_,15.605
L1C2.data\[4\]\[31\],15.6
L2.mem\[87\]\[17\],15.6
L2.mem\[95\]\[27\],15.6
_11216_,15.6
_18560_,15.6
_20949_,15.6
_21623_,15.6
_23866_,15.6
_24884_,15.6
_23323_,15.58
L2.mem\[15\]\[2\],15.57
L2.mem\[3\]\[31\],15.57
_24898_,15.56
_26919_,15.56
net2409,15.56
L2.mem\[248\]\[3\],15.55
L2.mem\[87\]\[23\],15.55
_22129_,15.55
L2.mem\[164\]\[10\],15.545
_22952_,15.54
L2.mem\[91\]\[15\],15.535
L2.mem\[254\]\[10\],15.53
L2.mem\[170\]\[20\],15.525
L1C0.tags\[2\]\[11\],15.52
L1C0.tags\[6\]\[8\],15.52
L1C2.mesi\[1\]\[0\],15.52
_11777_,15.52
_12204_,15.52
_14227_,15.52
_24709_,15.52
_12440_,15.5
_22382_,15.5
_23003_,15.5
_26971_,15.5
_28215_,15.5
net2834,15.5
net3393,15.5
L2.mem\[2\]\[27\],15.49
L2.mem\[12\]\[18\],15.48
L2.mem\[2\]\[25\],15.48
_14425_,15.48
_16622_,15.48
_19351_,15.48
_22103_,15.48
_22580_,15.48
_22622_,15.475
L2.mem\[241\]\[10\],15.465
L2.mem\[9\]\[22\],15.46
_16666_,15.46
_17037_,15.46
_27395_,15.46
_28233_,15.46
net3843,15.46
L2.mem\[129\]\[2\],15.45
L1C2.data\[5\]\[5\],15.44
L2.mem\[3\]\[28\],15.44
_11538_,15.44
_14619_,15.44
_20826_,15.44
_27328_,15.44
L2.mem\[5\]\[13\],15.43
L1C2.data\[3\]\[10\],15.42
_15443_,15.42
_21456_,15.42
_21796_,15.42
_23603_,15.42
L2.mem\[84\]\[18\],15.41
L1C1.tags\[2\]\[19\],15.4
_11508_,15.4
_11732_,15.4
_15493_,15.4
_16445_,15.4
_16920_,15.4
_16943_,15.4
_17249_,15.4
_18175_,15.4
_18304_,15.4
_21027_,15.4
_22485_,15.4
_22834_,15.4
_23025_,15.4
_25300_,15.4
_26933_,15.4
L2.mem\[254\]\[23\],15.39
_08009_,15.39
L1C0.tags\[2\]\[10\],15.38
L1C0.tags\[5\]\[15\],15.38
L1C2.tags\[3\]\[1\],15.38
L2.mem\[255\]\[14\],15.38
_09068_,15.38
_11913_,15.38
_12335_,15.38
_13971_,15.38
_21512_,15.38
_24459_,15.38
net3441,15.38
net3599,15.38
L2.mem\[95\]\[31\],15.37
L1C2.tags\[4\]\[11\],15.365
_11651_,15.36
_12010_,15.36
_12682_,15.36
_16194_,15.36
_21055_,15.36
_24016_,15.36
_27819_,15.36
net1889,15.36
L2.mem\[11\]\[1\],15.35
L2.mem\[252\]\[11\],15.35
L2.mem\[86\]\[1\],15.35
L2.mem\[89\]\[31\],15.35
L1C1.tags\[7\]\[16\],15.34
L2.mem\[243\]\[4\],15.34
L2.mem\[2\]\[14\],15.34
_00819_,15.34
_11005_,15.34
_11688_,15.34
_13796_,15.34
_14661_,15.34
_17285_,15.34
_18116_,15.34
_19579_,15.34
_21908_,15.34
_22747_,15.34
_27231_,15.34
_28040_,15.34
net5058,15.34
L2.mem\[165\]\[30\],15.335
L1C0.valid\[2\],15.32
_10391_,15.32
_14413_,15.32
_16692_,15.32
_17250_,15.32
_19312_,15.32
_19586_,15.32
_22770_,15.32
net1638,15.32
net6468,15.32
L2.mem\[6\]\[30\],15.31
L2.mem\[10\]\[14\],15.3
_22183_,15.3
_23769_,15.3
L2.mem\[169\]\[22\],15.28
_10933_,15.28
_12459_,15.28
_12946_,15.28
_13272_,15.28
_17043_,15.28
_17454_,15.28
_19270_,15.28
net6570,15.28
L2.mem\[243\]\[1\],15.27
_17183_,15.26
_18598_,15.26
_19540_,15.26
_19728_,15.26
_21257_,15.26
_23801_,15.26
net1955,15.26
net3809,15.26
net4502,15.26
L2.mem\[9\]\[31\],15.25
L2.mem\[160\]\[9\],15.245
L1C0.tags\[0\]\[12\],15.24
L2.mem\[166\]\[21\],15.24
_19006_,15.24
_21087_,15.24
_24638_,15.24
_27012_,15.24
net601,15.24
L2.mem\[10\]\[28\],15.23
L2.mem\[251\]\[27\],15.23
L2.mem\[4\]\[13\],15.23
L1C2.data\[2\]\[14\],15.22
_14559_,15.22
_15996_,15.22
_27109_,15.22
_27762_,15.22
_28076_,15.22
L2.mem\[10\]\[6\],15.21
L2.mem\[14\]\[0\],15.21
L2.mem\[168\]\[10\],15.21
L2.mem\[168\]\[9\],15.21
net6186,15.2
L2.mem\[169\]\[6\],15.19
L2.mem\[174\]\[7\],15.19
L2.mem\[229\]\[15\],15.19
L2.mem\[84\]\[17\],15.19
_23249_,15.19
L2.mem\[243\]\[19\],15.18
L2.mem\[3\]\[29\],15.18
_22452_,15.18
_23246_,15.18
L2.mem\[170\]\[6\],15.175
L2.mem\[3\]\[21\],15.17
_13804_,15.165
L1C1.tags\[0\]\[2\],15.16
L2.mem\[168\]\[24\],15.16
_23430_,15.16
_24797_,15.16
net6434,15.16
L2.mem\[13\]\[11\],15.15
L2.mem\[161\]\[3\],15.15
L2.mem\[1\]\[11\],15.15
L2.mem\[7\]\[3\],15.15
L2.mem\[80\]\[7\],15.15
L2.mem\[92\]\[31\],15.15
_06668_,15.15
_21255_,15.15
L2.mem\[93\]\[24\],15.145
L2.mem\[132\]\[14\],15.14
L2.mem\[250\]\[23\],15.14
L2.mem\[250\]\[3\],15.14
L2.mem\[86\]\[24\],15.14
L2.mem\[91\]\[20\],15.14
L2.mem\[94\]\[25\],15.14
L2.mem\[95\]\[5\],15.14
_12820_,15.14
_14404_,15.14
_14499_,15.14
_15655_,15.14
_16079_,15.14
_21030_,15.14
_23282_,15.14
net4494,15.14
net5960,15.14
L2.mem\[13\]\[9\],15.13
L2.mem\[170\]\[23\],15.13
L2.mem\[240\]\[9\],15.13
L1C2.data\[1\]\[1\],15.12
L1C2.tags\[5\]\[15\],15.12
L2.mem\[95\]\[10\],15.12
_07915_,15.12
_12814_,15.12
_19925_,15.12
L2.mem\[63\]\[31\],15.11
L2.mem\[89\]\[23\],15.11
L2.mem\[92\]\[5\],15.11
L2.mem\[94\]\[1\],15.11
_11982_,15.105
L1C2.data\[3\]\[9\],15.1
L2.mem\[164\]\[17\],15.1
PC1.BP.branch_pc\[5\],15.1
_17581_,15.1
_19693_,15.1
_21377_,15.1
_24161_,15.1
_26965_,15.1
L2.mem\[182\]\[7\],15.09
L2.mem\[162\]\[14\],15.08
_18430_,15.08
L1C1.tags\[4\]\[17\],15.06
L2.mem\[166\]\[17\],15.06
L2.mem\[4\]\[20\],15.06
_08130_,15.06
_11863_,15.06
_13846_,15.06
_13902_,15.06
_14494_,15.06
_21310_,15.06
_22471_,15.06
_23426_,15.06
_24048_,15.06
_24628_,15.06
net1504,15.06
L2.mem\[242\]\[27\],15.05
L2.mem\[252\]\[30\],15.05
_11691_,15.04
_22829_,15.04
_26969_,15.04
_27273_,15.04
_28185_,15.04
L2.mem\[11\]\[19\],15.03
L2.mem\[12\]\[23\],15.03
L2.mem\[246\]\[18\],15.03
L2.mem\[253\]\[7\],15.03
L2.mem\[82\]\[7\],15.03
L2.mem\[89\]\[9\],15.03
_08330_,15.03
EC0.RF.regs\[1\]\[14\],15.02
EC0.RF.regs\[4\]\[31\],15.02
L1C0.tags\[2\]\[0\],15.02
L1C1.tags\[2\]\[10\],15.02
L2.mem\[8\]\[24\],15.02
_11411_,15.02
_18237_,15.02
_19126_,15.02
_19770_,15.02
_21097_,15.02
_21561_,15.02
_22652_,15.02
_27123_,15.02
_28209_,15.02
net179,15.02
net523,15.02
net1404,15.02
_23336_,15.015
L2.mem\[11\]\[5\],15.01
EC0.RF.regs\[1\]\[1\],15
_14743_,15
_24159_,15
net54,15
net4499,15
net4619,15
net5519,15
L2.mem\[162\]\[9\],14.99
L2.mem\[3\]\[25\],14.99
_07024_,14.99
L1C2.data\[3\]\[27\],14.98
L1C2.tags\[6\]\[15\],14.98
L2.mem\[171\]\[18\],14.98
_12034_,14.98
_14372_,14.98
_16492_,14.98
_17800_,14.98
_21672_,14.98
_22130_,14.98
L2.mem\[169\]\[10\],14.97
L2.mem\[105\]\[8\],14.96
L2.mem\[144\]\[8\],14.96
L2.mem\[223\]\[4\],14.96
_10614_,14.96
_16774_,14.96
_17632_,14.96
_18589_,14.96
_22354_,14.96
_23294_,14.96
net3342,14.96
L2.mem\[171\]\[1\],14.955
L2.mem\[249\]\[10\],14.95
_12780_,14.94
_15885_,14.94
_17309_,14.94
_21768_,14.94
_27521_,14.94
net5438,14.94
L2.mem\[12\]\[28\],14.93
L2.mem\[254\]\[7\],14.93
L2.mem\[2\]\[6\],14.93
